"","Personal Doctor Count","Insurance Count","Total Respondents"
"AL",5429,6571,7669
"AK",2839,3030,3322
"AZ",3788,4076,4971
"AR",3353,3854,4195
"CA",3374,3853,4450
"CO",5427,5751,6615
"CT",3174,3425,3702
"DE",4643,4960,5774
"DC",4096,4160,4642
"FL",2894,3262,3559
"GA",5346,5821,6387
"HI",2850,3120,3586
"ID",1606,1931,2121
"IL",5342,5893,7882
"IN",5278,5965,6851
"IA",5529,6571,7615
"KS",5661,5937,6970
"KY",3643,4203,4885
"LA",2025,2335,2824
"ME",9100,9897,11382
"MD",2121,2294,2685
"MA",3631,3909,4350
"MI",7151,7671,8046
"MN",4523,5123,5692
"MS",3473,3732,4085
"MO",1538,1688,2099
"MT",3690,4468,5011
"NE",3289,3720,4298
"NV",2888,3086,3716
"NH",4429,5050,5639
"NJ",2595,2769,3424
"NM",2766,3367,3833
"NY",2831,3603,3933
"NC",1856,1972,2157
"ND",2502,2888,3201
"OH",4813,5014,5576
"OK",4301,4685,5600
"OR",2378,2582,3294
"PA",2114,2271,2593
"RI",6287,7748,8300
"SC",1227,1597,1923
"SD",3337,3789,4417
"TN",862,966,1284
"TX",2809,3359,3741
"UT",2839,3058,3490
"VT",1916,2191,2593
"VA",2283,2744,3271
"WA",2111,2376,2684
"WV",3036,3806,4501
"WI",2933,3125,3351
"WY",2647,2781,3109
"GU",1429,1813,2127
"PR",2400,2797,2965
