"","State","CI.LB","Estimate","CI.UB","Sample.Size"
"1","GU","75.5","78.5","81.6","1367"
"2","MS","80.7","82.3","83.9","5373"
"3","AZ","84.6","85.9","87.3","7317"
"4","HI","91.9","92.9","93.8","6747"
"5","IL","89.4","90.6","91.8","4957"
"6","OH","90.6","91.6","92.6","11273"
"7","US",NA,"89.2",NA,"53"
"8","TX","75.2","76.6","78.1","12484"
"9","UT","87.6","88.4","89.3","10355"
"10","AL","85.7","86.9","88.2","7211"
"11","OK","85","86.4","87.8","6393"
"12","NM","87.5","88.9","90.2","6213"
"13","AK","82.9","85.1","87.4","3231"
"14","NC","83.5","84.6","85.8","5812"
"15","VT","93.1","93.9","94.7","6144"
"16","WA","89.3","90.1","90.9","15125"
"17","AR","85.8","87.7","89.6","4911"
"18","UW",NA,"89.2",NA,"51"
"19","KY","92","93.1","94.1","8376"
"20","SC","85","86","87","10464"
"21","KS","86.6","87.2","87.8","21073"
"22","PR","92.1","93","93.9","5118"
"23","NJ","87.5","88.6","89.8","10639"
"24","NY","89.1","89.9","90.8","11542"
"25","MO","86.7","88","89.2","6667"
"26","WI","91.4","92.6","93.7","5867"
"27","CA","87.9","88.6","89.4","11306"
"28","IA","92.7","93.7","94.6","5929"
"29","ND","90.4","91.6","92.8","4680"
"30","TN","85.1","86.6","88.2","5458"
"31","FL","82.4","83.6","84.9","8778"
"32","DE","90.6","91.8","93","3778"
"33","MT","86.7","88","89.3","5529"
"34","MA","94.3","94.9","95.6","8856"
"35","GA","80.8","82.6","84.4","4200"
"36","CO","88.3","89.2","90.1","12335"
"37","MI","89.2","90.1","91","8293"
"38","SD","90.2","91.5","92.7","6799"
"39","LA","83","84.6","86.1","4180"
"40","NV","83.2","85.5","87.8","2680"
"41","PA","90.7","91.8","92.9","5371"
"42","NH","91.8","92.8","93.8","6653"
"43","MN","93.3","93.8","94.4","15973"
"44","WV","91.6","92.4","93.3","5574"
"45","CT","92","92.8","93.6","11298"
"46","ME","89.3","90.3","91.4","8479"
"47","NE","87.3","88.2","89.1","16127"
"48","WY","84.3","86","87.7","5017"
"49","IN","87.1","88.4","89.8","5625"
"50","OR","90.7","91.8","92.9","5009"
"51","VA","88.2","89.2","90.2","7979"
"52","DC","92.2","94","95.8","3857"
"53","ID","84.4","85.9","87.3","5198"
"54","MD","89.9","91.3","92.8","12065"
"55","RI","91","92.2","93.4","5872"
