"","State","CI.LB","Estimate","CI.UB","Sample.Size"
"1","SC","77.9","79.1","80.3","10920"
"2","DE","87.9","89.3","90.7","4386"
"3","PA","86.1","87.1","88.1","10306"
"4","IL","81.2","82.9","84.6","4929"
"5","NM","76.9","78.2","79.5","7998"
"6","IN","78.9","80.2","81.5","7270"
"7","MI","83.7","84.8","85.9","9716"
"8","KS","82.5","83.3","84.1","18451"
"9","AZ","79.1","81.2","83.3","5721"
"10","ME","86.5","87.4","88.3","12023"
"11","TN","79.7","82","84.4","5231"
"12","AL","80.4","81.7","83.1","6678"
"13","MA","92.7","93.3","94","21192"
"14","LA","76.1","77.5","78.9","9200"
"15","NY","84.1","85.3","86.5","6821"
"16","GU","69.3","72","74.7","1435"
"17","MT","78.9","80.2","81.5","8727"
"18","AK","77.6","79.7","81.7","2939"
"19","DC","90.9","92.3","93.7","4313"
"20","VA","83.5","84.9","86.4","5887"
"21","TX","68.8","70.2","71.6","12242"
"22","FL","75.2","76.5","77.7","10482"
"23","IA","87.4","88.4","89.5","6743"
"24","ID","76.1","77.9","79.7","5197"
"25","CT","86.3","87.5","88.8","6201"
"26","AR","73.9","76.2","78.4","4117"
"27","RI","84.5","85.8","87.2","5865"
"28","NH","85.4","86.7","87.9","6056"
"29","OR","80","81.5","82.9","5411"
"30","ND","85","86.5","87.9","4817"
"31","PR","89.5","90.5","91.5","6184"
"32","NE","83.4","84.1","84.8","22505"
"33","MN","87.8","88.6","89.5","14053"
"34","GA","73.5","75","76.6","8516"
"35","VT","89.7","90.8","91.8","6622"
"36","WI","85.8","87.3","88.8","4747"
"37","MD","85.8","87","88.2","9320"
"38","MO","81","82.5","83.9","5570"
"39","KY","80.1","81.4","82.8","9467"
"40","NJ","84.1","85","86","13667"
"41","HI","89.2","90.4","91.5","7023"
"42","UT","79.9","81","82","10905"
"43","NV","70.4","72.7","75.1","4605"
"44","MS","72.9","74.3","75.7","7361"
"45","WA","80.8","82","83.2","13145"
"46","OH","84.9","86.1","87.2","8903"
"47","CA","80.7","81.6","82.5","15820"
"48","OK","76.7","78.1","79.5","7274"
"49","WV","78.3","79.8","81.3","4458"
"50","NC","77.9","79.3","80.6","9973"
"51","WY","77.5","79.1","80.6","5908"
"52","CO","80.9","82.1","83.2","12068"
"53","SD","85.7","87.3","88.8","7557"
"54","US",NA,"82.1",NA,"53"
"55","UW",NA,"82.1",NA,"51"
