"","Personal Doctor Count","Insurance Count","Total Respondents","Medicaid Expansion"
"AL",3601.97217844698,3635.42414333527,4491,0
"AK",1334.28787233306,1733.004674245,2138,100
"AZ",2726.3184967904,2960.84726246526,3624,100
"AR",2008.71835414513,1954.03585580061,2574,100
"CA",5315.13048276084,5680.49488317994,7266,1
"CO",4659.52899041054,4992.49574349911,6095,1
"CT",3725.18331325756,3867.59256118109,4364,1
"DE",2275.03441522746,2296.39567681381,2578,1
"DC",1462.66730604071,1717.93327035472,1900,1
"FL",2803.28712471466,2926.38903175379,3773,0
"GA",2289.91089852434,2312.79072330832,3034,0
"HI",3218.69466837007,3384.57908400915,3776,1
"ID",2104.30692389834,2372.37152180084,2930,0
"IL",2292.41112547105,2322.00840601638,2783,1
"IN",3515.90593383299,3511.77608242985,4286,100
"IA",2957.04060799562,3154.15486396112,3559,100
"KS",4618.12742280807,4914.72144825659,5882,0
"KY",4574.80298431279,4603.7103642836,5578,1
"LA",3473.63857053875,3540.13253645358,4510,0
"ME",4328.58975785092,4257.15854065764,4925,0
"MD",5330.96675560398,5521.18490339453,6385,1
"MA",9567.70282657937,10156.0940457288,10778,1
"MI",4403.75959285214,4509.24476484558,5208,100
"MN",4652.59161644248,5401.9639485299,6079,1
"MS",2912.94005896356,2988.86630874174,3874,0
"MO",2645.0324419174,2794.33346756154,3359,0
"MT",3098.000483264,3502.13435187747,4306,0
"NE",7965.22126660379,8195.32861997017,9541,0
"NV",1573.30211348201,1740.59394704408,2406,1
"NH",3299.96502616871,3280.56236532309,3750,100
"NJ",6486.55855491171,6688.07146119469,7828,1
"NM",3127.3500765544,3438.81989002241,4369,1
"NY",2490.33554805433,2564.94678733693,3011,1
"NC",4492.7137743311,4636.05248351074,5912,0
"ND",1796.22655699122,2115.64249495419,2419,1
"OH",5276.83214986369,5572.64977865866,6477,1
"OK",3028.39564428113,3290.70590482971,3996,0
"OR",2035.11027620977,2107.58023580487,2633,1
"PA",8640.60577802041,8674.54921671043,9908,100
"RI",2376.57348434777,2324.02035507163,2729,1
"SC",4939.4109604558,4986.1280251285,6343,0
"SD",3056.25905304832,3496.95049401249,3923,0
"TN",2754.40446956093,2853.68571499041,3514,0
"TX",3029.52653515866,3170.09545124881,4525,0
"UT",4572.46377868251,5054.30435965426,6162,0
"VT",2660.1448228586,2713.01914765795,3014,1
"VA",2858.41262862324,3085.91772461721,3680,0
"WA",5801.55453182289,6201.84042450189,7610,1
"WV",2048.81418887228,2185.70032481584,2699,1
"WI",2210.56433005678,2335.87306069942,2630,100
"WY",2091.547695319,2415.46856741467,3118,0
"GU",709.654165874298,742.462717575936,998,1
"PR",2656.8751352719,2906.62979313898,3154,1
